countyname,crash19,fatal19,rate19,crash20,fatal20,rate20,pchange
Allen,20,0,0,10,0,0,0
Anderson,18,0,0,4,0,0,0
Atchison,31,0,0,6,0,0,0
Barber,5,0,0,NA,NA,NA,
Barton,74,0,0,41,0,0,0
Bourbon,31,0,0,2,1,50,Inf
Brown,23,0,0,6,0,0,0
Butler,129,0,0,31,1,3.225806451612903,Inf
Chase,16,1,6.25,7,0,0,-100
Chautauqua,5,0,0,NA,NA,NA,
Cherokee,34,0,0,4,0,0,0
Clark,5,0,0,1,0,0,0
Clay,18,0,0,4,0,0,0
Cloud,16,0,0,9,0,0,0
Coffey,36,0,0,21,1,4.761904761904762,Inf
Comanche,4,0,0,1,0,0,0
Cowley,62,0,0,19,0,0,0
Crawford,66,0,0,9,0,0,0
Decatur,4,1,25,NA,NA,NA,
Dickinson,13,0,0,1,0,0,0
Doniphan,9,0,0,NA,NA,NA,
Douglas,253,1,0.3952569169960474,131,0,0,-100
Edwards,5,0,0,2,0,0,0
Elk,12,0,0,NA,NA,NA,
Ellis,50,0,0,5,0,0,0
Ellsworth,26,0,0,8,0,0,0
Finney,73,0,0,21,0,0,0
Ford,65,0,0,22,0,0,0
Franklin,39,3,7.6923076923076925,6,0,0,-100
Geary,46,0,0,5,0,0,0
Gove,11,0,0,6,0,0,0
Graham,4,0,0,1,0,0,0
Grant,10,0,0,NA,NA,NA,
Gray,9,0,0,4,0,0,0
Greeley,3,0,0,NA,NA,NA,
Greenwood,12,0,0,2,1,50,Inf
Hamilton,7,1,14.285714285714286,NA,NA,NA,
Harper,12,0,0,11,0,0,0
Harvey,53,0,0,4,0,0,0
Haskell,4,0,0,1,0,0,0
Hodgeman,7,0,0,NA,NA,NA,
Jackson,25,0,0,1,0,0,0
Jefferson,33,0,0,20,1,5,Inf
Jewell,6,0,0,8,0,0,0
Johnson,1029,3,0.2915451895043732,125,0,0,-100
Kearny,7,0,0,7,1,14.285714285714286,Inf
Kingman,29,0,0,26,0,0,0
Kiowa,8,0,0,1,0,0,0
Labette,38,2,5.2631578947368425,24,0,0,-100
Lane,4,0,0,NA,NA,NA,
Leavenworth,112,1,0.8928571428571429,20,0,0,-100
Lincoln,13,0,0,8,0,0,0
Linn,24,0,0,18,0,0,0
Logan,5,0,0,1,0,0,0
Lyon,86,1,1.1627906976744187,32,0,0,-100
Marion,27,0,0,2,0,0,0
Marshall,13,0,0,5,0,0,0
Mcpherson,45,0,0,29,0,0,0
Meade,2,1,50,NA,NA,NA,
Miami,62,1,1.6129032258064515,3,1,33.333333333333336,1966.66666666667
Mitchell,16,0,0,2,0,0,0
Montgomery,55,1,1.8181818181818181,24,0,0,-100
Morris,20,0,0,7,0,0,0
Morton,4,0,0,NA,NA,NA,
Nemaha,29,1,3.4482758620689653,2,0,0,-100
Neosho,26,0,0,2,0,0,0
Ness,2,0,0,NA,NA,NA,
Norton,11,0,0,1,0,0,0
Osage,11,0,0,4,0,0,0
Osborne,8,0,0,NA,NA,NA,
Ottawa,15,1,6.666666666666667,NA,NA,NA,
Pawnee,15,0,0,13,0,0,0
Phillips,5,0,0,3,1,33.333333333333336,Inf
Pottawatomie,43,0,0,3,0,0,0
Pratt,18,0,0,NA,NA,NA,
Reno,88,1,1.1363636363636365,8,0,0,-100
Republic,9,0,0,3,0,0,0
Rice,22,0,0,14,0,0,0
Riley,124,1,0.8064516129032258,73,0,0,-100
Rooks,6,0,0,NA,NA,NA,
Rush,8,0,0,8,0,0,0
Russell,22,0,0,7,0,0,0
Saline,130,1,0.7692307692307693,6,0,0,-100
Scott,6,0,0,1,0,0,0
Sedgwick,969,4,0.41279669762641896,522,4,0.7662835249042146,85.632183908046
Seward,32,0,0,24,0,0,0
Shawnee,419,3,0.7159904534606205,149,1,0.6711409395973155,-6.26398210290827
Sheridan,5,0,0,1,1,100,Inf
Sherman,12,0,0,2,0,0,0
Smith,7,0,0,3,0,0,0
Stafford,14,0,0,1,0,0,0
Stevens,4,1,25,2,0,0,-100
Sumner,72,0,0,36,1,2.7777777777777777,Inf
Thomas,19,0,0,11,0,0,0
Trego,8,0,0,3,0,0,0
Wabaunsee,26,0,0,8,0,0,0
Wallace,1,0,0,NA,NA,NA,
Washington,11,0,0,6,0,0,0
Wichita,4,0,0,NA,NA,NA,
Wilson,15,0,0,1,0,0,0
Woodson,8,0,0,2,0,0,0
Wyandotte,352,2,0.5681818181818182,85,0,0,-100
